hh,year,years_in_community,building_type,number_of_rooms,owns_car,owns_motorcycle,owns_bicycle,owns_fridge,owns_freezer,owns_tv
020074,2024,13,1,5,True,True,True,True,False,True
060036,2024,26,2,3,False,True,True,True,False,True
040024,2024,9,3,6,True,False,False,True,True,True
050069,2024,32,3,3,False,False,True,False,False,False
020118,2024,18,1,5,True,True,True,True,True,True
060041,2024,7,2,2,False,False,True,True,True,True
020100,2024,21,3,7,True,True,True,True,False,True
090001,2024,5,4,1,False,False,True,False,False,False
020074,2024,13,1,5,True,True,True,True,False,True
090002,2024,1,4,2,False,False,False,False,False,False
