hh_id,state,urbrur,no_of_persons,years_in_community,building_type,no_of_rooms,owns_car,owns_motorcycle,owns_bicycle,owns_fridge,owns_freezer,owns_tv,relationship_to_head_1,relationship_to_head_2,relationship_to_head_3,relationship_to_head_4,relationship_to_head_5,relationship_to_head_6,relationship_to_head_7,relationship_to_head_8,relationship_to_head_9,sex_1,sex_2,sex_3,sex_4,sex_5,sex_6,sex_7,sex_8,sex_9,marital_status_1,marital_status_2,marital_status_3,marital_status_4,marital_status_5,marital_status_6,marital_status_7,marital_status_8,marital_status_9,birth_date_1,birth_date_2,birth_date_3,birth_date_4,birth_date_5,birth_date_6,birth_date_7,birth_date_8,birth_date_9,occupation_1,occupation_2,occupation_3,occupation_4,occupation_5,occupation_6,occupation_7,occupation_8,occupation_9,income_1,income_2,income_3,income_4,income_5,income_6,income_7,income_8,income_9
020003,2,1,3,39,2,4,0.0,,0.0,1.0,0.0,1.0,0,1,9,,,,,,,1,2,2,,,,,,,2,2,,,,,,,,1983-07-22,1990-04-07,2018-03-21,,,,,,,16,4,17,,,,,,,1884.39,5765.34,0.0,,,,,,
020003,2,1,3,39,2,4,0.0,,0.0,1.0,0.0,1.0,0,1,4,,,,,,,1,2,1,,,,,,,2,2,,,,,,,,1983-06-10,1989-02-04,2017-04-20,,,,,,,14,18,17,,,,,,,0.0,445.16,0.0,,,,,,
020005,2,1,7,52,1,9,0.0,0.0,0.0,1.0,0.0,0.0,0,1,5,11,2,5,11,,,2,1,2,1,2,1,2,,,2,2,1,1,2,3,,,,1980-06-07,1980-02-14,2002-10-06,2002-04-07,2002-10-03,1978-03-23,2008-01-27,,,5,4,15,12,18,20,1,,,1000000.0,2527.73,12453.58,1239.22,0.0,0.0,545.4,,
040031,4,1,6,29,3,3,1.0,0.0,0.0,0.0,1.0,1.0,0,1,5,2,11,2,,,,2,1,2,2,2,2,,,,2,2,2,3,2,2,,,,1970-10-19,1970-11-04,1998-03-08,1960-02-07,1990-10-04,1995-05-15,,,,15,17,12,10,12,7,,,,11291.23,0.0,2158.8,20422.29,1525.36,824.87,,,
050034,5,1,9,15,4,5,0.0,0.0,0.0,1.0,0.0,1.0,0,2,2,2,2,2,11,11,5,2,2,2,2,2,2,1,2,1,2,,1,2,,2,2,3,1,1990-05-09,2010-11-17,2009-08-21,1995-09-25,2016-09-18,1973-02-07,1993-03-23,1950-10-08,2007-05-28,13,18,18,17,17,4,19,11,3,13415.82,0.0,0.0,0.0,0.0,2832.47,0.0,59669.21,5686.48
050036,5,2,7,43,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0,1,2,9,9,2,2,,,1,2,2,2,1,2,2,,,2,2,2,,,,2,,,1988-08-09,1993-12-12,1994-12-05,2020-11-13,2016-05-05,2014-05-31,1946-09-13,,,7,13,6,17,17,17,5,,,2317.38,2061.68,2735.39,0.0,0.0,175.27,1863.07,,
050040,5,1,6,8,4,7,0.0,,1.0,1.0,0.0,1.0,0,1,2,10,2,5,,,,2,1,2,1,1,2,,,,2,2,1,2,2,2,,,,1979-11-22,1979-08-01,2002-11-20,,1984-12-30,1996-04-13,,,,16,5,1,6,3,11,,,,26100.0,5605.78,7481.32,1783.12,3445.51,44654.8,,,
050040,5,1,6,8,4,7,0.0,,1.0,1.0,0.0,1.0,0,1,,,,,,,,1,2,,,,,,,,3,3,,,,,,,,,1955-10-20,,,,,,,,18,9,,,,,,,,0.0,29278.49,,,,,,,
060046,6,2,3,21,2,5,0.0,0.0,1.0,0.0,0.0,1.0,0,5,5,,,,,,,2,2,1,,,,,,,3,2,2,,,,,,,1951-10-22,1996-04-23,1998-03-23,,,,,,,2,4,5,,,,,,,2280.14,11213.7,2063.89,,,,,,
060055,6,2,7,39,2,9,1.0,1.0,1.0,0.0,0.0,1.0,0,1,11,10,10,10,5,,,2,1,2,2,1,1,2,,,2,2,1,3,1,3,2,,,1977-03-14,1979-02-28,2007-06-12,,2007-03-17,1964-05-24,1990-12-07,,,8,15,14,7,13,2,2,,,9719.77,6657.64,0.0,2200.98,8214.4,612.59,5270.14,,
