hh_id,state,urbrur,no_of_persons,owns_car,owns_motorcycle,owns_bicycle,owns_fridge,owns_freezer,owns_tv,years_in_community,urbrur,no_of_rooms,building_type,relationship_to_head_1,relationship_to_head_2,relationship_to_head_3,relationship_to_head_4,relationship_to_head_5,relationship_to_head_6,relationship_to_head_7,relationship_to_head_8,relationship_to_head_9,sex_1,sex_2,sex_3,sex_4,sex_5,sex_6,sex_7,sex_8,sex_9,marital_status_1,marital_status_2,marital_status_3,marital_status_4,marital_status_5,marital_status_6,marital_status_7,marital_status_8,marital_status_9,birth_date_1,birth_date_2,birth_date_3,birth_date_4,birth_date_5,birth_date_6,birth_date_7,birth_date_8,birth_date_9,occupation_1,occupation_2,occupation_3,occupation_4,occupation_5,occupation_6,occupation_7,occupation_8,occupation_9,income_1,income_2,income_3,income_4,income_5,income_6,income_7,income_8,income_9
050040,5,1,6,,,,,,,9,1.0,7.0,4,0,1,2,10,2,5,,,,2,1,2,1,1,2,,,,2,2,1,2,2,2,,,,1979-11-22,1979-08-01,2002-11-20,,1984-12-30,1996-04-13,,,,16,5,1,6,3,11,,,,27702.175185052914,5863.3485953526615,6375.415640197881,1805.9890246439938,3206.5643472095826,48594.72175757268,,,
050040,5,1,6,,,,,,,9,1.0,7.0,4,0,1,,,,,,,,1,2,,,,,,,,3,3,,,,,,,,,1955-10-20,,,,,,,,18,9,,,,,,,,0.0,28073.97068289843,,,,,,,
020013,2,1,3,0.0,0.0,1.0,1.0,1.0,1.0,8,,7.0,3,0,1,10,,,,,,,1,2,2,,,,,,,2,2,4,,,,,,,1968-01-16 00:00:00,1967-01-16 00:00:00,1966-01-16 00:00:00,,,,,,,9,5,16,,,,,,,3822.1883034672983,11557.250778011588,4253.312672037387,,,,,,
020007,2,1,4,0.0,1.0,0.0,0.0,0.0,1.0,2,,6.0,1,0,1,5,10,,,,,,1,2,1,1,,,,,,2,2,4,3,,,,,,1995-01-09 00:00:00,1977-01-13 00:00:00,1964-01-17 00:00:00,1948-01-21 00:00:00,,,,,,7,10,19,12,,,,,,7069.240907714009,6189.311051544739,2879.840784104696,2950.49768664477,,,,,
040016,4,1,6,0.0,1.0,1.0,1.0,0.0,1.0,9,,3.0,2,0,1,2,10,11,11,,,,2,1,1,2,2,2,,,,2,2,,5,4,2,,,,1974-01-14 00:00:00,1985-01-11 00:00:00,2020-01-03 00:00:00,2002-01-07 00:00:00,1952-01-20 00:00:00,2008-01-06 00:00:00,,,,5,1,1,10,7,16,,,,3023.882114665122,8922.33785414415,0.0,7252.969188310617,5238.922408004836,2626.1128884361574,,,
040032,4,2,5,0.0,0.0,0.0,1.0,0.0,1.0,3,,6.0,4,0,5,10,4,9,,,,,2,2,2,1,1,,,,,2,5,1,,,,,,,1997-01-08 00:00:00,1965-01-16 00:00:00,1980-01-13 00:00:00,2023-01-02 00:00:00,2024-01-02 00:00:00,,,,,15,19,7,19,9,,,,,1620.5812285879483,699.2826263620684,3224.466164662805,0.0,0.0,,,,
050037,5,2,9,0.0,0.0,1.0,0.0,0.0,1.0,0,,6.0,1,0,1,9,2,4,11,11,10,9,2,1,2,1,1,1,1,2,2,2,2,3,2,,2,3,1,,2000-01-08 00:00:00,1967-01-16 00:00:00,2010-01-05 00:00:00,1980-01-13 00:00:00,2017-01-03 00:00:00,1987-01-11 00:00:00,1966-01-16 00:00:00,1950-01-20 00:00:00,2018-01-03 00:00:00,7,9,7,9,1,1,19,3,9,1989.453118971875,7663.271174805902,5364.987664792977,3675.9506442532784,0.0,20176.461914630523,1486.5496061798078,2491.211078229049,0.0
050033,5,2,1,0.0,1.0,0.0,0.0,0.0,1.0,4,,5.0,2,0,,,,,,,,,1,,,,,,,,,2,,,,,,,,,1998-01-08 00:00:00,,,,,,,,,19,,,,,,,,,1418.364190136095,,,,,,,,
060103,6,1,7,1.0,1.0,0.0,0.0,0.0,1.0,7,,4.0,4,0,1,11,5,2,5,4,,,1,2,2,2,2,1,1,,,2,2,5,5,1,1,,,,1977-01-13 00:00:00,1973-01-14 00:00:00,1972-01-15 00:00:00,1971-01-15 00:00:00,1995-01-09 00:00:00,1996-01-09 00:00:00,2016-01-04 00:00:00,,,9,9,3,3,16,4,18,,,6736.449574991858,5994.384234333225,14348.017489853657,968.9573053671849,6749.045258980641,2622.560418982938,0.0,,
060049,6,2,8,0.0,1.0,1.0,0.0,0.0,1.0,6,,3.0,1,0,1,11,10,2,10,5,5,,1,2,1,1,2,2,1,2,,2,2,4,3,3,4,3,4,,1970-01-15 00:00:00,1967-01-16 00:00:00,1958-01-18 00:00:00,1954-01-19 00:00:00,1958-01-18 00:00:00,1978-01-13 00:00:00,1984-01-12 00:00:00,1979-01-13 00:00:00,,15,11,6,10,3,17,12,13,,7939.801058000517,9711.473225885606,321.49137833187956,784.1472328473618,9872.453030145518,2813.756121615851,1689.9999192636267,1629.1504876205765,
090063,9,2,9,0.0,0.0,1.0,1.0,0.0,1.0,8,,8.0,4,0,1,4,2,4,5,11,10,11,2,1,2,1,2,2,1,1,1,2,2,,1,,1,2,1,5,1998-01-08 00:00:00,1978-01-13 00:00:00,2016-01-04 00:00:00,1959-01-18 00:00:00,2015-01-04 00:00:00,1998-01-08 00:00:00,2007-01-06 00:00:00,1989-01-10 00:00:00,1957-01-18 00:00:00,6,11,5,19,7,7,3,6,5,21207.78005140747,13736.394726663038,0.0,2447.584365842728,0.0,5612.764124168432,11094.572376894326,5718.761545571648,4082.1298050069395
090062,9,2,1,0.0,1.0,0.0,0.0,1.0,1.0,7,,8.0,1,0,,,,,,,,,1,,,,,,,,,2,,,,,,,,,1984-01-12 00:00:00,,,,,,,,,7,,,,,,,,,11702.850781407082,,,,,,,,
010081,1,2,7,0.0,1.0,1.0,0.0,0.0,0.0,7,,2.0,2,0,1,10,5,4,10,11,,,1,2,1,1,2,2,2,,,2,2,2,1,,2,3,,,2001-01-07 00:00:00,2005-01-06 00:00:00,1964-01-17 00:00:00,1954-01-19 00:00:00,2020-01-03 00:00:00,1998-01-08 00:00:00,1995-01-09 00:00:00,,,8,16,12,10,5,9,8,,,14640.792939936428,5342.269018113498,5624.834268216055,6702.2356239151795,0.0,4233.317319071288,26404.66373142101,,
010101,1,2,2,0.0,0.0,0.0,0.0,0.0,1.0,4,,7.0,3,0,10,,,,,,,,1,1,,,,,,,,2,2,,,,,,,,1967-01-16 00:00:00,1965-01-16 00:00:00,,,,,,,,7,7,,,,,,,,1971.3455242184916,2940.7440773097883,,,,,,,
030105,3,2,2,0.0,0.0,0.0,0.0,1.0,1.0,8,,4.0,1,0,11,,,,,,,,2,1,,,,,,,,2,2,,,,,,,,1966-01-16 00:00:00,1950-01-20 00:00:00,,,,,,,,18,15,,,,,,,,8436.132027988662,1214.3010744081373,,,,,,,
030082,3,2,2,0.0,0.0,0.0,1.0,0.0,1.0,0,,5.0,2,0,10,,,,,,,,1,1,,,,,,,,2,2,,,,,,,,1988-01-11 00:00:00,1974-01-14 00:00:00,,,,,,,,7,3,,,,,,,,2004.3558145854975,7977.87872687827,,,,,,,
060045,6,2,3,1.0,0.0,1.0,1.0,0.0,1.0,3,,2.0,1,0,1,2,,,,,,,1,2,1,,,,,,,2,2,1,,,,,,,1973-01-14 00:00:00,1989-01-10 00:00:00,1956-01-19 00:00:00,,,,,,,15,11,11,,,,,,,9232.50485694106,2991.1819187912592,2296.091392355962,,,,,,
020001,2,1,2,0.0,1.0,1.0,0.0,0.0,1.0,3,,5.0,2,0,1,,,,,,,,2,1,,,,,,,,2,2,,,,,,,,1969-01-15 00:00:00,1978-01-13 00:00:00,,,,,,,,17,17,,,,,,,,3216.7271088427337,3852.6146257988244,,,,,,,
040028,4,1,2,0.0,0.0,1.0,1.0,1.0,1.0,4,,4.0,1,0,1,,,,,,,,1,2,,,,,,,,2,2,,,,,,,,1978-01-13 00:00:00,1998-01-08 00:00:00,,,,,,,,3,17,,,,,,,,5141.73070460254,15993.352875395463,,,,,,,
060046,6,2,3,,,,1.0,,,22,2.0,5.0,2,0,5,5,,,,,,,2,2,1,,,,,,,3,2,2,,,,,,,1951-10-22,1996-04-23,1998-03-23,,,,,,,2,4,5,,,,,,,2941.8637701490825,7102.913202054882,2507.9587792629927,,,,,,
