hh_id,state,urbrur,no_of_persons,sampled
020001,2,1,1,False
020002,2,2,4,False
020003,2,1,3,True
020004,2,1,9,False
020005,2,1,7,True
020006,2,1,1,False
020007,2,1,4,False
020008,2,1,9,False
020009,2,1,9,False
020010,2,1,9,False
020011,2,2,4,False
020012,2,2,5,False
020013,2,1,3,False
020014,2,2,6,False
040015,4,2,3,False
040016,4,1,6,False
040017,4,1,2,False
040018,4,2,2,False
040019,4,2,6,False
040020,4,2,1,False
040021,4,2,9,False
040022,4,1,7,False
040023,4,1,9,False
040024,4,2,6,False
040025,4,1,2,False
040026,4,1,4,False
040027,4,2,2,False
040028,4,1,2,False
040029,4,2,5,False
040030,4,2,6,False
040031,4,1,6,True
040032,4,2,4,False
050033,5,2,2,False
050034,5,1,9,True
050035,5,1,3,False
050036,5,2,7,True
050037,5,2,9,False
050038,5,1,6,False
050039,5,1,4,False
050040,5,1,6,True
050041,5,2,5,False
050042,5,1,4,False
050043,5,2,4,False
060044,6,2,7,False
060045,6,2,3,False
060046,6,2,3,True
060047,6,1,9,False
060048,6,2,7,False
060049,6,2,6,False
060050,6,1,3,False
060051,6,2,2,False
060052,6,1,2,False
060053,6,1,3,False
060054,6,2,2,False
060055,6,2,7,True
060056,6,2,9,False
060057,6,2,9,True
060058,6,1,2,False
060059,6,2,6,False
090060,9,1,5,False
090061,9,2,3,True
090062,9,2,1,False
090063,9,2,9,False
090064,9,1,9,False
090065,9,1,5,True
090066,9,1,3,False
090067,9,2,3,False
090068,9,1,6,False
090069,9,2,1,True
090070,9,1,6,False
090071,9,2,4,False
010072,1,1,4,True
010073,1,1,2,False
010074,1,2,2,True
010075,1,1,3,False
010076,1,2,9,False
010077,1,1,5,False
010078,1,2,4,False
010079,1,1,5,True
010080,1,2,6,False
010081,1,2,9,False
030082,3,2,2,False
030083,3,1,4,False
030084,3,1,6,False
030085,3,1,9,False
030086,3,1,4,False
030087,3,1,2,True
030088,3,1,4,True
030089,3,1,1,False
030090,3,2,2,False
030091,3,1,5,False
030092,3,2,4,False
030093,3,1,8,False
030094,3,1,8,False
030095,3,2,4,False
030096,3,1,2,True
030097,3,2,6,False
030098,3,2,7,False
030099,3,2,1,False
030100,3,1,1,False
